Analyte,Value_ppm,Ref_Low_ppm,Ref_High_ppm,Flag,Herd,,
Analyte,Value_ppm,Ref_Low_ppm,Ref_High_ppm,Flag,wickstrum farms,6018,
Ca,138,30,200,,wickstrum farms,6018,
Co,0.027,0.01,0.063,,wickstrum farms,6018,
Cr,0.025,0.001,,,wickstrum farms,6018,
Cu,148,40,170,,wickstrum farms,6018,
Fe,76,40,400,,wickstrum farms,6018,
K,4258,1400,4000,H,wickstrum farms,6018,
Mg,232,100,250,H,wickstrum farms,6018,
Mn,4.257,0.7,3.5,H,wickstrum farms,6018,
Mo,0.226,0.2,0.6,,wickstrum farms,6018,
Na,1875,900,3000,,wickstrum farms,6018,
P,3443,2000,4000,,wickstrum farms,6018,
Se,2.262,0.3,1.5,H,wickstrum farms,6018,
Zn,142,37,205,,wickstrum farms,6018,
Vitamin E,304.195,1,2.5,H,wickstrum farms,6018,
,Value_ppm,Ref_Low_ppm,Ref_High_ppm,Flag,Matt Sullivan,Animal_Id,
Ca,125,80,865,,Matt Sullivan,YELLOW 122,
Co,0.325,0.1,0.7,,Matt Sullivan,YELLOW 122,
Cr,0.359,0.14,13.3,,Matt Sullivan,YELLOW 122,
Cu,117.737,88,525,,Matt Sullivan,YELLOW 122,
Fe,307,151,1050,,Matt Sullivan,YELLOW 122,
K,9849,3900,14000,,Matt Sullivan,YELLOW 122,
Mg,580,250,875,,Matt Sullivan,YELLOW 122,
Mn,9.749,5.25,18,,Matt Sullivan,YELLOW 122,
Mo,4.217,0.7,5,,Matt Sullivan,YELLOW 122,
Na,3239,0.7,5,,Matt Sullivan,YELLOW 122,
P,12095,2015,10500,,Matt Sullivan,YELLOW 122,
Se,1.772,5100,14000,,Matt Sullivan,YELLOW 122,
Zn,149,88,438,,Matt Sullivan,YELLOW 122,
,,,,,Matt Sullivan,,
Ca,162,80,865,,Matt Sullivan,YELLOW 303,
Co,0.27,0.1,0.7,,Matt Sullivan,YELLOW 303,
Cr,0.519,0.14,13.3,,Matt Sullivan,YELLOW 303,
Cu,101.064,88,525,,Matt Sullivan,YELLOW 303,
Fe,351,151,1050,,Matt Sullivan,YELLOW 303,
K,12186,3900,14000,,Matt Sullivan,YELLOW 303,
Mg,721,250,875,,Matt Sullivan,YELLOW 303,
Mn,8.19,5.25,18,,Matt Sullivan,YELLOW 303,
Mo,4.474,0.7,5,,Matt Sullivan,YELLOW 303,
Na,3802,2015,10500,,Matt Sullivan,YELLOW 303,
P,13217,5100,14000,,Matt Sullivan,YELLOW 303,
Se,1.836,0.7,2.5,,Matt Sullivan,YELLOW 303,
Zn,185,88,438,,Matt Sullivan,YELLOW 303,
,,,,,Matt Sullivan,,
Ca,142,80,865,,Matt Sullivan,YELLOW 319,
Co,0.275,0.1,0.7,,Matt Sullivan,YELLOW 319,
Cr,1.19,0.14,13.3,,Matt Sullivan,YELLOW 319,
Cu,77.096,88,525,,Matt Sullivan,YELLOW 319,
Fe,295,151,1050,,Matt Sullivan,YELLOW 319,
K,11374,3900,14000,,Matt Sullivan,YELLOW 319,
Mg,670,250,875,,Matt Sullivan,YELLOW 319,
Mn,11.224,5.25,18,,Matt Sullivan,YELLOW 319,
Mo,3.848,0.7,5,,Matt Sullivan,YELLOW 319,
Na,3406,2015,10500,,Matt Sullivan,YELLOW 319,
P,13177,5100,14000,,Matt Sullivan,YELLOW 319,
Se,1.928,0.7,2.5,,Matt Sullivan,YELLOW 319,
Zn,117,88,438,,Matt Sullivan,YELLOW 319,
,,,,,Matt Sullivan,,
Ca,139,80,865,,Matt Sullivan,YELLOW 340,
Co,0.258,0.1,0.7,,Matt Sullivan,YELLOW 340,
Cr,0.78,0.14,13.3,,Matt Sullivan,YELLOW 340,
Cu,7.787,88,525,,Matt Sullivan,YELLOW 340,
Fe,513,151,1050,,Matt Sullivan,YELLOW 340,
K,10947,3900,14000,,Matt Sullivan,YELLOW 340,
Mg,639,250,875,,Matt Sullivan,YELLOW 340,
