Ingredient List,Product Type,Marketing Category,brand_name,count_products,ct_applications
FLUNIXIN MEGLUMINE; PHENOL,PRESCRIPTION ANIMAL DRUG,ANADA,"Flu-Nix,Flunixin,VETAMEG",3,1
FLUOXETINE HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,NADA,RECONCILE,1,1
FLURALANER,PRESCRIPTION ANIMAL DRUG,NADA,"Bravecto,Bravecto 1-Month,Bravecto Quantum,Exzolt",4,5
FLURALANER; MOXIDECTIN,PRESCRIPTION ANIMAL DRUG,NADA,Bravecto Plus,1,1
FOLLICLE STIMULATING HORMONE (PORCINE),PRESCRIPTION ANIMAL DRUG,NADA,Folltropin,1,1
FORMALDEHYDE,OTC ANIMAL DRUG,NADA,Parasite-S,1,1
FORMALDEHYDE; METHYL ALCOHOL,OTC ANIMAL DRUG,ANADA,FORMACIDE-B,1,1
FRUNEVETMAB,PRESCRIPTION ANIMAL DRUG,NADA,Solensia,1,1
FUROSEMIDE,PRESCRIPTION ANIMAL DRUG,ANADA,"Furosemide,Furosemide 1%",2,2
FUROSEMIDE,PRESCRIPTION ANIMAL DRUG,NADA,"Disal,Furosemide,Salix",3,4
GAMITHROMYCIN,PRESCRIPTION ANIMAL DRUG,ANADA,GAMROZYNE,1,1
GAMITHROMYCIN,PRESCRIPTION ANIMAL DRUG,NADA,ZACTRAN,1,1
GENTAMICIN SULFATE,OTC ANIMAL DRUG,ANADA,GENTAMICIN PIGLET,1,1
GENTAMICIN SULFATE,OTC ANIMAL DRUG,NADA,GARASOL,1,1
GENTAMICIN SULFATE,PRESCRIPTION ANIMAL DRUG,ANADA,"GEN-GARD Soluble Powder,GENTAMAX,GentaMed,GENTAMICIN SULFATE",4,3
GENTAMICIN SULFATE; BETAMETHASONE VALERATE,PRESCRIPTION ANIMAL DRUG,ANADA,"GENTACALM,Gentamicin Sulfate,GentaVed",3,2
GENTAMICIN SULFATE; CLOTRIMAZOLE; BETAMETHASONE VALERATE,PRESCRIPTION ANIMAL DRUG,NADA,Otomax,1,1
GENTAMICIN SULFATE; POSACONAZOLE; MOMETASONE FUROATE MONOHYDRATE,PRESCRIPTION ANIMAL DRUG,NADA,Mometamax Single,1,1
GENTAMICIN; HYDROCORTISONE ACEPONATE; MICONAZOLE NITRATE,PRESCRIPTION ANIMAL DRUG,NADA,EASOTIC,1,1
GLEPTOFERRON,OTC ANIMAL DRUG,ANADA,GleptoForte,1,1
GONADORELIN,PRESCRIPTION ANIMAL DRUG,ANADA,Fertagyl,1,1
GONADORELIN ACETATE,PRESCRIPTION ANIMAL DRUG,ANADA,GONABREED,1,1
GONADORELIN DIACETATE TETRAHYDRATE,PRESCRIPTION ANIMAL DRUG,ANADA,OvaCyst,1,1
GONADORELIN DIACETATE TETRAHYDRATE,PRESCRIPTION ANIMAL DRUG,NADA,CYSTORELIN,1,1
GONADORELIN HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,NADA,Factrel,1,1
GONADOTROPIN RELEASING FACTOR ANALOG-DIPHTHERIA TOXOID CONJUGATE,PRESCRIPTION ANIMAL DRUG,NADA,Improvest,1,1
GRAPIPRANT,PRESCRIPTION ANIMAL DRUG,NADA,Galliprant,1,1
HELIUM,PRESCRIPTION ANIMAL DRUG,NADA,Helium,1,4
HETACILLIN POTASSIUM,PRESCRIPTION ANIMAL DRUG,NADA,PolyMast,1,1
HLAL RDNA CONSTRUCT IN SBC LAL-C CHICKEN,INTENTIONAL ANIMAL GENOMIC ALTERATION,NADA,hLAL rDNA Construct in SBC LAL-C Chickens,1,1
HUMAN CHORIONIC GONADOTROPIN,PRESCRIPTION ANIMAL DRUG,NADA,CHORULON,1,1
"HUMAN CHORIONIC GONADOTROPIN; SERUM, HORSE",OTC ANIMAL DRUG,NADA,P.G. 600,1,1
HYALURONATE SODIUM,PRESCRIPTION ANIMAL DRUG,ANADA,NexHA,1,1
HYALURONATE SODIUM,PRESCRIPTION ANIMAL DRUG,NADA,"Hyalovet,Hyvisc,Legend,Legend Multi Dose",4,3
HYDROGEN PEROXIDE,OTC ANIMAL DRUG,NADA,35% Perox-Aid,1,1
ILUNOCITINIB,PRESCRIPTION ANIMAL DRUG,NADA,Zenrelia,1,1
IMIDACLOPRID,OTC ANIMAL DRUG,NADA,Advantus,1,1
IMIDACLOPRID; MOXIDECTIN,PRESCRIPTION ANIMAL DRUG,ANADA,"IMOXI for Cats,IMOXI for Dogs,Midamox for Cats,PARASEDGE Multi for Cats 2 - 5 lbs,PARASEDGE Multi for Cats 5.1 - 9 lbs,PARASEDGE Multi for Cats 9 - 18 lbs,PARASEDGE Multi for Dogs 3 - 9 lbs,PARASEDGE Multi for Dogs 55.1 - 88 lbs,PARASEDGE Multi for Dogs 88.1 - 110 lbs,PARASEDGE Multi for Dogs 9.1 - 20 lbs",10,5
IMIDACLOPRID; MOXIDECTIN,PRESCRIPTION ANIMAL DRUG,NADA,"ADVANTAGE MULTI FOR CATS,ADVANTAGE MULTI FOR DOGS",2,2
IMIDOCARB DIPROPIONATE,PRESCRIPTION ANIMAL DRUG,NADA,Imizol,1,1
INSULIN HUMAN,PRESCRIPTION ANIMAL DRUG,NADA,ProZinc,1,1
INSULIN PORK,PRESCRIPTION ANIMAL DRUG,NADA,Vetsulin,1,1
IRON,OTC ANIMAL DRUG,NADA,"ANEM-X 100,IRON 100,IRON 200,IRON HYDROGENATED DEXTRAN",4,1
IRON DEXTRAN,OTC ANIMAL DRUG,NADA,Uniferon 200,1,1
ISOFLURANE,PRESCRIPTION ANIMAL DRUG,ANADA,"Fluriso,Isoflurane,IsoSol,Isospire",4,3
ITRACONAZOLE,PRESCRIPTION ANIMAL DRUG,NADA,Itrafungol,1,1
IVERMECTIN,OTC ANIMAL DRUG,ANADA,"AGRI-MECTIN,Bimectin,Bimectin Pour-On,Duramectin,DuraMectin,Ecomectin Cattle Pour-On,Horse Health,Ivermax,Ivermax for Cattle and Swine,Ivermax POUR-ON,Ivermax Pour-On for Cattle,Ivermax POUR-ON for Cattle,Ivermectin,IVERMECTIN,Ivermectin Cattle Pour-On,Ivermectin for Cattle and Swine,Ivermectin Pour-On for Cattle,IVERMECTIN POUR-ON for Cattle,Ivermectin Sheep Drench,Noromectin for Cattle and Swine,Noromectin Pour-On for Cattle,PRIVERMECTIN DRENCH FOR SHEEP,ProMectin B Pour-On,Vetrimec,Vetrimec POUR-ON",25,10
IVERMECTIN,OTC ANIMAL DRUG,NADA,"IVOMEC,IVOMEC Pour-On,Vetrimec,ZIMECTERIN",4,5
IVERMECTIN,PRESCRIPTION ANIMAL DRUG,ANADA,SPARMECTIN E,1,1
IVERMECTIN; CLORSULON,OTC ANIMAL DRUG,ANADA,"Bimectin Plus,Noromectin Plus for Cattle",2,2
IVERMECTIN; CLORSULON,OTC ANIMAL DRUG,NADA,IVOMEC Plus,1,1
IVERMECTIN; PRAZIQUANTEL,OTC ANIMAL DRUG,NADA,Equimax,1,1
IVERMECTIN; PYRANTEL PAMOATE,PRESCRIPTION ANIMAL DRUG,ANADA,"TriHeart Plus,VetriShield Plus",2,2
IVERMECTIN; PYRANTEL PAMOATE,PRESCRIPTION ANIMAL DRUG,NADA,HEARTGARD Plus,1,1
KETAMINE HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,ANADA,Ketamine Hydrochloride,1,2
