Ingredient List,Product Type,Marketing Category,brand_name,count_products,ct_applications
TILMICOSIN PHOSPHATE,PRESCRIPTION ANIMAL DRUG,ANADA,Tilmovet AC Oral Solution,1,1
TILMICOSIN PHOSPHATE,PRESCRIPTION ANIMAL DRUG,NADA,"Micotil 300,Pulmotil AC",2,2
TILMICOSIN PHOSPHATE,VFD TYPE A MEDICATED ARTICLE ANIMAL DRUG,ANADA,Tilmovet 90 Type A Medicated Article,1,1
TILMICOSIN PHOSPHATE,VFD TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,Pulmotil 90,1,1
TOCERANIB PHOSPHATE,PRESCRIPTION ANIMAL DRUG,NADA,Palladia,1,1
TORSEMIDE,PRESCRIPTION ANIMAL DRUG,NADA,UpCArd-CA1 TORSEMIDE,1,1
TRENBOLONE ACETATE; ESTRADIOL,OTC ANIMAL DRUG,NADA,"Revalor-G,Revalor-H,Revalor-IH,Revalor-IS",4,2
TRENBOLONE ACETATE; ESTRADIOL BENZOATE,OTC ANIMAL DRUG,NADA,Synovex One,1,1
TRENBOLONE ACETATE; ESTRADIOL; TYLOSIN TARTRATE,PRESCRIPTION ANIMAL DRUG,ANADA,Component TE-200 With Tylan,1,1
TRIAMCINOLONE ACETONIDE,PRESCRIPTION ANIMAL DRUG,NADA,Genesis,1,1
TRIAMCINOLONE ACETONIDE; NYSTATIN; THIOSTREPTON; NEOMYCIN SULFATE,PRESCRIPTION ANIMAL DRUG,NADA,Animax,1,1
TRICAINE METHANESULFONATE,OTC ANIMAL DRUG,ANADA,SYNCAINE,1,1
TRILOSTANE,PRESCRIPTION ANIMAL DRUG,NADA,Vetoryl,1,1
TRIMEPRAZINE TARTRATE; PREDNISOLONE,PRESCRIPTION ANIMAL DRUG,ANADA,"Cortamine P,Trimeprazine with Prednisolone",2,1
TRIMEPRAZINE TARTRATE; PREDNISOLONE,PRESCRIPTION ANIMAL DRUG,NADA,Temaril-P,1,1
TRIMETHOPRIM; SULFADIAZINE,PRESCRIPTION ANIMAL DRUG,ANADA,UNIPRIM,1,1
TRIMETHOPRIM; SULFADIAZINE,PRESCRIPTION ANIMAL DRUG,NADA,Equisul-SDT,1,1
TRIPELENNAMINE HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,NADA,RE-COVR,1,1
TRIPTORELIN ACETATE,OTC ANIMAL DRUG,NADA,OvuGel,1,1
TULATHROMYCIN,PRESCRIPTION ANIMAL DRUG,ANADA,"Arovyn,Increxxa,Increxxa 25,Macrosyn,RESPIRmycin,RESPIRmycin 25,Tulieve,Tulissin 100,Tulissin 25,VACASAN,VACASAN 25",11,9
TULATHROMYCIN,PRESCRIPTION ANIMAL DRUG,NADA,"Draxxin,Draxxin 25",2,2
TYLOSIN,PRESCRIPTION ANIMAL DRUG,ANADA,BiloVet,1,1
TYLOSIN,PRESCRIPTION ANIMAL DRUG,NADA,"Tylan 200,Tylan 50",2,1
TYLOSIN PHOSPHATE,VFD TYPE A MEDICATED ARTICLE ANIMAL DRUG,ANADA,"Tylovet 100 Type A Medicated Article,Tylovet 40 Type A Medicated Article",2,1
TYLOSIN PHOSPHATE,VFD TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,"Tylan 100,Tylan 40",2,1
TYLOSIN TARTRATE,PRESCRIPTION ANIMAL DRUG,ANADA,"BiloVet,Tylosin Soluble Powder,Tylosin Tartrate,Tylovet Soluble",4,2
TYLOSIN TARTRATE,PRESCRIPTION ANIMAL DRUG,NADA,Tylan Soluble,1,1
TYLOSIN TARTRATE; ESTRADIOL; TRENBOLONE ACETATE,PRESCRIPTION ANIMAL DRUG,ANADA,Component TE-IS With Tylan,1,1
TYLOSIN TARTRATE; TRENBOLONE ACETATE; ESTRADIOL,PRESCRIPTION ANIMAL DRUG,ANADA,"Component TE-G With Tylan,Component TE-IH With Tylan",2,2
TYLVALOSIN,VFD TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,Aivlosin,1,1
TYLVALOSIN TARTRATE,PRESCRIPTION ANIMAL DRUG,NADA,Aivlosin,1,1
VELAGLIFLOZIN PROLINE,PRESCRIPTION ANIMAL DRUG,NADA,Senvelgo,1,1
VIRGINIAMYCIN,VFD TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,"HepafleX,Stafac 20,Stafac 50,Stafac 500,V-Max,V-Max 50",6,2
XYLAZINE,PRESCRIPTION ANIMAL DRUG,NADA,Rompun,1,1
XYLAZINE HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,ANADA,Xylazine,1,1
XYLAZINE HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,NADA,Anased,1,1
ZERANOL,OTC ANIMAL DRUG,NADA,RALGRO,1,1
ZOLAZEPAM HYDROCHLORIDE; TILETAMINE HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,ANADA,Tzed,1,1
